Nom du com,N° Série,Latitude,Longitude,OSM_Line_i,Ancien N° Série
Compteur Vélo Tanneurs,XTH19101158,43.6162094554924,3.87440800666809,188609530,
Compteur Piéton/Vélo Berracasa,X2H19070220,43.6096992492676,3.89693999290466,121403593,
Compteur Vélo Lodève Celleneuve,Y2H20042633,43.61465,3.8336,734202564,
Compteur Vélo Lavérune,X2H24042101,43.5907,3.81324,97705885,
Compteur Vélo Vieille poste,ZLT25011699,43.6157418,3.9096322,676645909,
Compteur Vélo Delmas 2,Y2H20063164,43.6266977,3.8956288,105575465,Y2H20063164
Compteur Vélo Delmas 1,ZLT26063736,43.6266977,3.8956288,105575465,Y2H20063163
Compteur Vélo Gerhardt 1,Y2H20063162,43.6138841,3.8684671,23231541,
Compteur Vélo Lattes 2,Y2H20042634,43.57926,3.93327,25871951,
Compteur Vélo Lattes 1,Y2H20042635,43.57883,3.93324,137058167,
Compteur Vélo Méric,X2H20104132,43.62959,3.89379,10429699,
Compteur Vélo Père Soulas 1,X2H21070341,43.62387,3.85339,135001721,
Compteur Vélo Père Soulas 2,ZLT26063735,43.62387,3.85339,135001721,X2H21070342
Compteur Vélo M17 Montferrier 1,X2H21070343,43.67179,3.867914,755700690,
Compteur Vélo N17 Montferrier 2,X2H21070347,43.67179,3.867914,755700690,
Compteur Vélo Figuerolles,X2H21070344,43.606275,3.863965,813676445,
Compteur Piéton/vélo Pavelet,X2H21070345,43.585203,3.859721,563115296,
Compteur Vélo M21 Jacou,X2H21070346,43.671214,3.913031,243439664,
Compteur Vélo Einstein,X2H21070348,43.610301,3.913589,359148100,
Compteur Vélo Lapeyronie,X2H21070349,43.631989,3.852038,374829525,
Compteur Vélo M185 Arnel,X2H25023006,43.539352,3.887153,31450087,
Compteur Vélo Mas de Gau,ZLT26043541,43.584349,3.907998,253757735,X2H21070351
Compteur Vélo M5 Lèques,XTH21015106,43.589824,3.800261,97705917,
Compteur Vélo Clapiers,XTH24072390,43.660053,3.900942,930381158,
Compteur Vélo Saint-Jaumes 1,ZLT26063734,43.6168,3.868,437445704,X2H21111120
Compteur Vélo Saint-Jaumes 2,X2H21111121,43.6147,3.8699,563323786,
Compteur Vélo RM65 Thomassy,X2H22043029,43.6489091,3.855992,249866952,
Compteur Vélo Juvignac Europe,X2H22043030,43.6149319,3.8156247,249856379,
Compteur Vélo Castelnau Route de Nimes 1,X2H22043031,43.6376009,3.9295381,60703759,
Castelnau Route de Nimes 2,X2H22043032,43.63775079,3.9297263,60703959,
Compteur Vélo Allée de la Méditerranée,X2H22043033,43.59888,3.89867,399988317,
Compteur Vélo Renouvier bande cyclable,X2H22043034,43.60381,3.8677,295726077,
Compteur Vélo Renouvier chaussée,X2H22043035,43.60383,3.86779,295726077,
Compteur Vélo Gerhardt 2,X2H22104770,43.613833,3.868509,1396155904,
Compteur Vélo Jean Mermoz,X2H22104768,43.6115,3.8899,155831324,
Compteur Vélo Vieussens1,X2H22104775,43.6001,3.8776,8584788,
Compteur Vélo Vieussens2,X2H22104776,43.6001,3.8776,8584788,
Compteur Vélo Pompignane1,X2H22104773,43.614,3.8981,376991821,
Compteur Vélo Pompignane2,X2H22104774,43.614,3.8981,31450626,
Compteur Vélo Clos l'armet,X2H22104767,43.6316,3.915,104300810,
Compteur Vélo Grabels,X2H22104766,43.6452,3.8224,162938367,
Compteur Vélo Cournonsec,X2H22104765,43.538,3.6988,1085031414,
Compteur Vélo Grossec,X2H22104769,43.5754,3.8617,38292462,
Compteur Vélo Léon Vallois,X2H22104777,43.614,3.8847,643789819,
Compteur Vélo Castelnau G. Frêche 1,ZLT26063738,43.6232,3.9089,477652563,X2H22104772
Compteur Vélo Castelnau G. Frêche 2,X2H22104771,43.6233,3.9089,477652564,
Compteur Vélo Sabines,COM23120110,43.5842845,3.8610253,37618918,
Compteur Vélo Saint-Martin Cité Mion,COM23070049,43.5969973,3.8837306,1182343623,
Compteur Vélo Rue Pierre Causse,COM23120112,43.6089867,3.8417193,140548130,
Compteur Vélo Saint-Lazare,COM23120113,43.6236365,3.8922978,105575465,
Compteur Vélo Quai de Cythère,COM23120114,43.609783,3.8985888,121403595,
Compteur Vélo Lac du Crès,COM23120117,43.655155,3.935122,162937166,
Compteur Vélo Villeneuve,COM24010120,43.538492,3.870437,365190978,
Compteur Vélo Université Paul Valery,COM24010121,43.630557,3.869485,368597548,
Compteur Vélo Saint Georges d’Orques ,COM24010119,43.608784,3.789674,73897211,
Compteur Vélo Pas du Loup 1 pair,ZLT25112719,43.600366,3.848652,1435092124,
Compteur Vélo Pas du Loup 2 impair,ZLT25112718,43.600417,3.84858,1415342430,
Compteur Vélo Galerie cyclable Victor Hugo,ZLT25112692,43.6068,3.8781,1315709015,
Compteur Vélo Galerie cyclable Frédéric Mistral,ZLT25112669,43.609949,3.882696,1315709018,
Compteur Vélo et Trottinette Cours Gambetta,ZLT25112720,43.6072,3.8705,1230331740,
